BIT_ID,Name,Country 1,Country 2,Type,Date of signature,Date of entry in force,Date of termination,Date of publication,Origin language,Code 1,Code 2,Doc Reference,Health measures shall not be considered discriminatory,Non-discriminatory health measures are not indriect expropriation or breaches of FET,Market access subject to domestic laws,Health conditions not performance requirement,General Exceptions,Health-sector reservations,Right to regulate investment to achieve health objectives,BIT objectives to be achieved without relaxing health measures,Enforcement via state-state,Recognition of health as a purpose for lawful expropriation,Definition of environmental and labour laws to include health,Parties can challenge tribunal appointed health experts,Compensation for public health loss,Investor expectations / Investors to observe the laws on health,Cooperation and investment in public health,Preserving right to adopt and enforce health measures,"Clarifications of definitions, relevant to public health",Prevent erosion of existing levels of health protection,Leveraging investment policy for public health,Health-related responsibilities of investors,Coordination across the policy sectors of health and investment,More than 1 policy function,Right to regulate (defensive),Health/ investment interface (neutral),Advancing a public health agenda (offensive),treaty_article_text,treaty_article_sentence,Class,Output,Year
0,Colombia - Spain BIT (2021),Colombia ,Spain ,BIT,16/9/2021,,,,es,COL,ESP,T2021-119,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0," PreambleThe Kingdom of Spain and the Republic of Colombia, hereinafter referred to as ""the Contracting Parties"".Desiring to promote economic co-operation for the mutual benefit of the Contracting Parties.Convinced that investment has the potential to contribute to sustainable development and increase prosperity in both countries.Seeking to promote and protect the Investment of one Contracting Party in the Territory of the other Contracting Party by means of favorable conditions for its realization and maintenance.Reaffirming the right of each Contracting Party to regulate investments made in its Territory to meet legitimate public welfare objectives, which can be achieved without diminishing its generally applicable standards of health, public order and safety, labour rights and the environment.Recognizing the importance of international security, democracy, human rights and the rule of law for the development of international trade and economic cooperation.Have agreed as follows:","reaffirming the right of each contracting party to regulate investments made in its territory to meet legitimate public welfare objectives, which can be achieved without diminishing its generally applicable standards of health, public order and safety, labour rights and the environment",3,more than 1,2021
1,Georgia - Japan BIT (2021),Georgia ,Japan ,BIT,29/1/2021,,,,"en,jp",GEO,JPN,T2021-1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,"Japan and Georgia (hereinafter referred to as ""the Contracting Parties""), Desiring to further promote investment in order to strengthen the economic relationship between the Contracting Parties; Recognising that a stable framework for investment will maximise effective utilisation of economic resources; Recognising the growing importance of the progressive liberalisation of investment for stimulating initiative of investors and for promoting prosperity in the Contracting Parties; Recognising that these objectives can be achieved without relaxing health, safety and environmental measures of general application; and Recognising the importance of the cooperative relationship between labour and management in promoting investment between the Contracting Parties; Have agreed as follows: ","japan and georgia (hereinafter referred to as ""the contracting parties""), desiring to further promote investment in order to strengthen the economic relationship between the contracting parties; recognising that a stable framework for investment will maximise effective utilisation of economic resources; recognising the growing importance of the progressive liberalisation of investment for stimulating initiative of investors and for promoting prosperity in the contracting parties; recognising that these objectives can be achieved without relaxing health, safety and environmental measures of general application; and recognising the importance of the cooperative relationship between labour and management in promoting investment between the contracting parties; have agreed as follows: ",3,more than 1,2021
2,Israel - United Arab Emirates BIT (2020),Israel ,United Arab Emirates ,BIT,20/10/2020,,,,en,ARE,ISR,T2020-50,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,"The Government of the State of Israel and The Government of The United Arab Emirates (hereinafter, ""the Parties"") Further to the Treaty of Peace, Diplomatic Relations and Full Normalization between the United Arab Emirates and the State of Israel, signed in Washington, DC on 15 September 2020 (hereinafter, ""the Peace Treaty""), and in particular Article 5 thereof and further to the Agreed Protocol signed between the Parties on 1 September 2020, in Abu Dhabi; Recalling the agreed principles for cooperation in the sphere of finance and investment, which were annexed to the Peace Treaty, and desiring to cooperate to expeditiously deepen and broaden bilateral investment relations, recognizing the key role of concluding agreements in the sphere of finance and investment in the economic development of the Parties and the Middle East as a whole; Determined to ensure lasting peace, stability, security and prosperity for both their States and to develop and enhance their dynamic and innovative economies; Reaffirming their shared belief that the establishment of peace and full normalization between them can help transform the Middle East by spurring economic growth, enhancing technological innovation and forging closer people-to-people relations; Recognizing the growing importance of foreign investments in creating, maintaining and enhancing sustainable economic growth and prosperity for both Parties; Reaffirming their commitment to protecting investors, consumers, market integrity and financial stability, as well as maintaining all applicable regulatory standards; Confirming that any kind of investment should be made in good faith; Acknowledging each Party's right to protect its security, safety, environment and public interests within its territory; Recognizing that this Agreement shall not apply to the pre-establishment phase of the investment; and Recognizing that these objectives can be achieved without relaxing health, safety and environmental measures of general application; Have agreed as follows: ","the government of the state of israel and the government of the united arab emirates (hereinafter, ""the parties"") further to the treaty of peace, diplomatic relations and full normalization between the united arab emirates and the state of israel, signed in washington, dc on 15 september 2020 (hereinafter, ""the peace treaty""), and in particular article 5 thereof and further to the agreed protocol signed between the parties on 1 september 2020, in abu dhabi; recalling the agreed principles for cooperation in the sphere of finance and investment, which were annexed to the peace treaty, and desiring to cooperate to expeditiously deepen and broaden bilateral investment relations, recognizing the key role of concluding agreements in the sphere of finance and investment in the economic development of the parties and the middle east as a whole; determined to ensure lasting peace, stability, security and prosperity for both their states and to develop and enhance their dynamic and innovative economies; reaffirming their shared belief that the establishment of peace and full normalization between them can help transform the middle east by spurring economic growth, enhancing technological innovation and forging closer people-to-people relations; recognizing the growing importance of foreign investments in creating, maintaining and enhancing sustainable economic growth and prosperity for both parties; reaffirming their commitment to protecting investors, consumers, market integrity and financial stability, as well as maintaining all applicable regulatory standards; confirming that any kind of investment should be made in good faith; acknowledging each party's right to protect its security, safety, environment and public interests within its territory; recognizing that this agreement shall not apply to the pre-establishment phase of the investment; and recognizing that these objectives can be achieved without relaxing health, safety and environmental measures of general application; have agreed as follows: ",3,more than 1,2020
3,Hungary - Kyrgyzstan BIT (2020),Hungary ,Kyrgyzstan ,BIT,29/9/2020,,,,"en,hu",HUN,KGZ,T2020-39,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,"The Government of Hungary and the Government of the Kyrgyz Republic (hereinafter referred to as the ""Contracting Parties""), Desiring to intensify economic cooperation to the mutual benefit of both Contracting Parties, Intending to create and maintain favourable conditions for investments of investors of one Contracting Party in the territory of the other Contracting Party, and Seeking to ensure that investment is consistent with the protection of health, safety and the environment, the promotion and protection of internationally and domestically recognised human rights, labour rights, and internationally recognised standards of corporate social responsibility; Desiring to promote investment that contributes to the sustainable development of the Contracting Parties; Aiming to secure an overall balance of rights and obligations between investors and the host state; Being conscious that the promotion and reciprocal protection of investments, according to the present Agreement, stimulates the business initiatives in this field, Have agreed as follows: ","the government of hungary and the government of the kyrgyz republic (hereinafter referred to as the ""contracting parties""), desiring to intensify economic cooperation to the mutual benefit of both contracting parties, intending to create and maintain favourable conditions for investments of investors of one contracting party in the territory of the other contracting party, and seeking to ensure that investment is consistent with the protection of health, safety and the environment, the promotion and protection of internationally and domestically recognised human rights, labour rights, and internationally recognised standards of corporate social responsibility; desiring to promote investment that contributes to the sustainable development of the contracting parties; aiming to secure an overall balance of rights and obligations between investors and the host state; being conscious that the promotion and reciprocal protection of investments, according to the present agreement, stimulates the business initiatives in this field, have agreed as follows: ",3,more than 1,2020
4,Brazil - India BIT (2020),Brazil ,India ,BIT,25/1/2020,,,,"en,pt",BRA,IND,T2020,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,"6.1 Neither Party may nationalize or expropriate an investment of an investor (hereinafter ""expropriate"") of the other Party, except:a) For reasons of public purpose; (1)b) In a non-discriminatory manner;c) On payment of effective and adequate (2) compensation, according to paragraph 6.2; andd) In accordance with the due process of law.6.2 Such compensation shall:a) Be paid without undue delay;b) Be at least equivalent to the fair market value of the expropriated investment, immediately before the expropriation takes place but not beyond thirty (30) days prior to the date of expropriation, plus interests at a rate determined according to market criteria, accrued since the expropriation date until the payment date, according to the legislation of the Host State;c) Not reflect any change in value occurring because the intended expropriation had become known earlier. Valuation criteria shall include going concern value, asset value including declared tax value of tangible property, and other criteria, as appropriate, to determine fair market value; andd) Be completely payable, freely exchanged into a convertible currency and freely transferable, according to Article 9.6.3 For greater certainty, this Treaty only covers direct expropriation, which occurs when an investment is nationalised or otherwise directly expropriated through formal transfer of title or outright seizure.6.4 Non-discriminatory regulatory measures by a Party or measures or awards by judicial bodies of a Party that are designed and applied to protect legitimate public interest or public purpose objectives such as public health, safety and the environment shall not constitute expropriation under this Article.(1) For the avoidance of doubt, where India is the expropriating Party, any measure of expropriation relating to land shall be for the purposes as set out in its law relating to land acquisition and any questions as to ""public purpose"" and compensation shall be determined in accordance with the procedure specified in such law.(2) For the avoidance of doubt, where Brazil is the expropriating Party, for the expropriation of property that is not performing its social function, in accordance with its Constitution and other applicable legislation, compensation may be paid in the form of debt bonds.","4 non-discriminatory regulatory measures by a party or measures or awards by judicial bodies of a party that are designed and applied to protect legitimate public interest or public purpose objectives such as public health, safety and the environment shall not constitute expropriation under this article",3,more than 1,2020
5,Japan - Morocco BIT (2020),Japan ,Morocco ,BIT,8/1/2020,,,,,JPN,MAR,T2020-1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,"The Government of Japan and the Government of the Kingdom of Morocco,Desiring to further promote investment in order to strengthen the economic relationship between Japan and the Kingdom of Morocco (hereinafter referred to as ""the Contracting Parties"");Intending to further create stable, equitable, favourable and transparent conditions for greater investment by investors of a Contracting Party in the Territory of the other Contracting Party;Recognising that the reciprocal promotion and protection of such investment will be conducive to stimulation of business initiative and increase prosperity in both Contracting Parties;Recognising that these objectives can be achieved without relaxing health, safety and environmental measures of general application; andRecognising the inherent right of the Contracting Parties to regulate and resolving to preserve their flexibility to set legislative and regulatory priorities, safeguard public welfare, and protect legitimate public welfare objectives, such as public health, safety, the environment, the conservation of living or non-living exhaustible natural resources, the integrity and stability of the financial system and public morals;Have agreed as follows:","the government of japan and the government of the kingdom of morocco,desiring to further promote investment in order to strengthen the economic relationship between japan and the kingdom of morocco (hereinafter referred to as ""the contracting parties"");intending to further create stable, equitable, favourable and transparent conditions for greater investment by investors of a contracting party in the territory of the other contracting party;recognising that the reciprocal promotion and protection of such investment will be conducive to stimulation of business initiative and increase prosperity in both contracting parties;recognising that these objectives can be achieved without relaxing health, safety and environmental measures of general application; andrecognising the inherent right of the contracting parties to regulate and resolving to preserve their flexibility to set legislative and regulatory priorities, safeguard public welfare, and protect legitimate public welfare objectives, such as public health, safety, the environment, the conservation of living or non-living exhaustible natural resources, the integrity and stability of the financial system and public morals;have agreed as follows:",3,more than 1,2020
6,Brazil - Ecuador BIT (2019),Brazil ,Ecuador ,BIT,25/9/2019,,,,"es,pt",BRA,ECU,T2019-6,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,"1. Investors and their investment shall strive to achieve the highest possible level of contribution to the sustainable development of the Host State and the local community, through the adoption of a high degree of socially responsible practices, based on the principles and voluntary norms set out in this Article.2. The investors and their investment shall endeavour to comply with the following principles and norms for a responsible business conduct and consistent with the laws adopted by the Host State receiving the investment:a) Contribute to the economic, social and environmental progress, aiming at achieving sustainable development;b) Respect the internationally recognized human rights of those involved in the companies' activities;c) Encourage local capacity building through close cooperation with the local community;d) Encourage the creation of human capital, especially by creating employment opportunities and offering professional training to workers;e) Refrain from seeking or accepting exemptions that are not established in the legal or regulatory framework relating to human rights, environment, health, security, work, tax system, financial incentives, or other issues;f) Support and advocate for good corporate governance principles, and develop and apply good practices of corporate governance;g) Develop and implement effective self-regulatory practices and management systems that foster a relationship of mutual trust between the companies and the societies in which its operations are conducted;h) Promote knowledge and compliance, by employees, of company policies by properly disseminating them, including through training programs;i) Refrain from taking discriminatory or disciplinary measures against workers who prepare, in good faith, management reports or, where appropriate, for the competent public authorities about practices contrary to the law or company policies;j) Encourage, whenever possible, business associates, including service providers and outsources, to apply the principles of business conduct consistent with the principles provided for in this Article; andk) Refrain from any undue interference in local political activities."," the investors and their investment shall endeavour to comply with the following principles and norms for a responsible business conduct and consistent with the laws adopted by the host state receiving the investment:a) contribute to the economic, social and environmental progress, aiming at achieving sustainable development;b) respect the internationally recognized human rights of those involved in the companies' activities;c) encourage local capacity building through close cooperation with the local community;d) encourage the creation of human capital, especially by creating employment opportunities and offering professional training to workers;e) refrain from seeking or accepting exemptions that are not established in the legal or regulatory framework relating to human rights, environment, health, security, work, tax system, financial incentives, or other issues;f) support and advocate for good corporate governance principles, and develop and apply good practices of corporate governance;g) develop and implement effective self-regulatory practices and management systems that foster a relationship of mutual trust between the companies and the societies in which its operations are conducted;h) promote knowledge and compliance, by employees, of company policies by properly disseminating them, including through training programs;i) refrain from taking discriminatory or disciplinary measures against workers who prepare, in good faith, management reports or, where appropriate, for the competent public authorities about practices contrary to the law or company policies;j) encourage, whenever possible, business associates, including service providers and outsources, to apply the principles of business conduct consistent with the principles provided for in this article; andk) refrain from any undue interference in local political activities",3,more than 1,2019
7,India - Kyrgyzstan BIT (2019),India ,Kyrgyzstan ,BIT,14/6/2019,,,,en,IND,KGZ,T2019-18,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,"5.1 Neither Party may nationalize or expropriate an investment of an investor (hereinafter ""expropriate"") of the other Party either directly or through measures having an effect equivalent to expropriation, except for reasons of public purpose (3), in accordance with the due process of law and on payment of adequate compensation. Such compensation shall be adequate and be at least equivalent to the fair market value of the expropriated investment immediately on the day before the expropriation takes place (""date of expropriation""), and shall not reflect any change in value occurring because the intended expropriation had become known earlier. Valuation criteria shall include going concern value, asset value including declared tax value of tangible property, and other criteria, as appropriate, to determine fair market value. 5.2 Payment of compensation shall be made in a freely convertible currency. Interest on payment of compensation, where applicable, shall be paid in simple interest at a commercially reasonable rate from the date of expropriation until the date of actual payment. On payment, compensation shall be freely transferable in accordance with Article 6. 5.3. The Parties confirm their shared understanding that: a) Expropriation may be direct or indirect: (i) direct expropriation occurs when an investment is nationalised or otherwise directly expropriated through formal transfer of title or outright seizure; and (ii) indirect expropriation occurs if a measure or series of measures of a Party has an effect equivalent to direct expropriation, in that it substantially or permanently deprives the investor of the fundamental attributes of property in its investment, including the right to use, enjoy and dispose of its investment, without formal transfer of title or outright seizure. b) The determination of whether a measure or a series of measures have an effect equivalent to expropriation requires a case-by-case, fact-based inquiry, that takes into consideration: (i) the economic impact of the measure or series of measures, although the sole fact that a measure or series of measures of a Party has an adverse effect on the economic value of an investment does not establish that an indirect expropriation has occurred; (ii) the duration of the measure or series of measures of a Party; (iii) the character of the measure or series of measures, notably their object, context and intent; and (iv) whether a measure by a Party breaches the Party's prior binding written commitment to the investor whether by contract, licence or other legal document. 5.4 For the avoidance of doubt, the Parties agree that an action taken by a Party in its commercial capacity shall not constitute expropriation or any other measure having similar effect. 5.5 Non-discriminatory regulatory measures by a Party or measures or awards by judicial bodies of a Party that are designed and applied to protect legitimate public interest or public purpose objectives such as public health, safety and the environment shall not constitute expropriation under this Article. 5.6 In considering an alleged breach of this Article, a Tribunal shall take account of whether the investor or, as appropriate, the locally-established enterprise, pursued action for remedies before domestic courts or tribunals prior to initiating a claim under this Treaty.(3) For the avoidance of doubt, where India is the expropriating Party, any measure of expropriation relating to land shall be for the purposes as set out in its Law relating to land acquisition and any questions as to ""public purpose"" and compensation shall be determined in accordance with the procedure specified in such Law.","5 non-discriminatory regulatory measures by a party or measures or awards by judicial bodies of a party that are designed and applied to protect legitimate public interest or public purpose objectives such as public health, safety and the environment shall not constitute expropriation under this article",3,more than 1,2019
8,"Korea, Republic of - Uzbekistan BIT (2019)","Korea, Republic of ",Uzbekistan ,BIT,19/4/2019,,,,,KOR,UZB,T2019-11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,"The Government of the Republic of Uzbekistan and the Government of the Republic of Korea (hereinafter referred to as the ""Contracting Parties""),Desiring to create favorable conditions for greater investments by investors of one Contracting Party in the territory of the other Contracting Party, based on the principles of equality and mutual benefit,Recognizing that the reciprocal promotion and protection of investments on the basis of this Agreement will be conducive to the flow of investment and promoting the development of mutually beneficial cooperation, the stimulation of individual business initiatives and will increase prosperity in both States, andDesiring to achieve these objectives in a manner consistent with the protection of health, safety, and the environment, and the promotion of consumer protection and internationally recognized labor rights, taking note of the need to ensure the attainment of legitimate governmental objectives to foster sustainable development;Have agreed as follows:","the government of the republic of uzbekistan and the government of the republic of korea (hereinafter referred to as the ""contracting parties""),desiring to create favorable conditions for greater investments by investors of one contracting party in the territory of the other contracting party, based on the principles of equality and mutual benefit,recognizing that the reciprocal promotion and protection of investments on the basis of this agreement will be conducive to the flow of investment and promoting the development of mutually beneficial cooperation, the stimulation of individual business initiatives and will increase prosperity in both states, anddesiring to achieve these objectives in a manner consistent with the protection of health, safety, and the environment, and the promotion of consumer protection and internationally recognized labor rights, taking note of the need to ensure the attainment of legitimate governmental objectives to foster sustainable development;have agreed as follows:",3,more than 1,2019
9,Iraq - Saudi Arabia BIT (2019),Iraq ,Saudi Arabia ,BIT,17/4/2019,,,,,IRQ,SAU,T2019-16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,"The Kingdom of Saudi Arabia and the Republic of Iraq (hereinafter referred to as the "" Contracting Parties "")Desiring them to encourage and protect investment and strengthen the economic ties and relations between the two countries in alignment with their economic priorities, and their determination to create favorable conditions and greater opportunities for exchanging more investments between the investors of the two parties, and their belief in the increasing importance of encouraging and protecting investments in order to motivate investors to take more investment initiatives and achieve prosperity and prosperity for both parties, and aware of the possibility of achieving these goals without prejudice to the legislation, health, safety and environment regulations applied by both parties, and aware of the importance of technology transfer, job creation and human resource development arising from these investments, and each Contracting Party acknowledging that it reserves the right to organize the foreign investment in its territory, and taking the necessary measures to ensure the consistency of investment activities with its national laws, development policies and strategies.They have agreed on the following:","the kingdom of saudi arabia and the republic of iraq (hereinafter referred to as the "" contracting parties "")desiring them to encourage and protect investment and strengthen the economic ties and relations between the two countries in alignment with their economic priorities, and their determination to create favorable conditions and greater opportunities for exchanging more investments between the investors of the two parties, and their belief in the increasing importance of encouraging and protecting investments in order to motivate investors to take more investment initiatives and achieve prosperity and prosperity for both parties, and aware of the possibility of achieving these goals without prejudice to the legislation, health, safety and environment regulations applied by both parties, and aware of the importance of technology transfer, job creation and human resource development arising from these investments, and each contracting party acknowledging that it reserves the right to organize the foreign investment in its territory, and taking the necessary measures to ensure the consistency of investment activities with its national laws, development policies and strategies",3,more than 1,2019
